,gene_id,hacat_stim_1,hacat_stim_2,hacat_unstim_1,hacat_unstim_2,myla_1,myla_2,naive_T_1,naive_T_2,GM12878,hacat_stim,hacat_unstim,myla,naive_T,gene_name
45,ENSG00000089280,,7.07688141992e-07,,0.005669320895249999,,,0.000137433352863,0.0007280398837210001,3.53462844017e-10,3.75393799149e-08,,,2.57040762088e-08,FUS
46,ENSG00000089558,,,,,,,,,,,,0.0019594902658,,KCNH4
47,ENSG00000090339,3.1235765275200003e-16,2.1810855946100005e-47,,,7.761526477939997e-30,1.4620098595299992e-24,9.589130703729992e-61,3.3116887574199995e-47,0.0,2.953055209249999e-63,,1.6595961380700001e-44,2.7043879483599984e-109,ICAM1
48,ENSG00000092020,,0.00818155609271,,0.0010010358103,,,,,1.07923764307e-05,6.33254044127e-05,3.49857435891e-05,0.005557503931139999,,PPP2R3C
49,ENSG00000092929,,,,,0.00034289424908499997,,,,,,,,,UNC13D
50,ENSG00000092931,,,,,,,,,,,,,0.000147990611371,MFSD11
51,ENSG00000094975,,,,8.39482872666e-06,,,0.000150584542028,,,1.71834539039e-09,3.09291159824e-08,,0.00064479829174,SUCO
52,ENSG00000095485,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,CWF19L1
53,ENSG00000099364,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,FBXL19
54,ENSG00000099365,,,,,,,0.00012073865995299999,1.0,,,,,1.65544323153e-07,STX1B
55,ENSG00000099377,2.63101356444e-05,2.0970949587200003e-14,0.00017784877557099998,4.3589957009499985e-09,2.54712286775e-07,1.34790693592e-07,,,,8.39711755667e-20,1.60523267021e-14,7.40677723717e-15,,HSD3B7
56,ENSG00000099381,1.0,3.86114791576e-06,1.0,9.06405110788e-09,8.68106708614e-05,3.626428712130001e-10,5.27785505138e-10,1.0,1.10285126734e-29,4.72636091855e-07,2.56674831664e-06,8.569390916390001e-13,3.73198165014e-10,SETD1A
57,ENSG00000099889,,,,,,,,,,0.0035043439181499996,,,,ARVCF
58,ENSG00000099899,,,,,,,,,,,0.0026114405558499997,,,TRMT2A
59,ENSG00000099901,,,,,,,,,,,0.0026114405558499997,,,RANBP1
60,ENSG00000099917,,0.003317885392,,,,,,,,0.00295747567498,0.0014133328085899999,,,MED15
61,ENSG00000099942,,0.00419001099888,,,,,,,0.00038832515651999994,2.31170127969e-06,,,,CRKL
62,ENSG00000099949,,0.006954992737100001,,,0.00264372751091,,,,,0.0033846535822499996,,0.000100506479805,,LZTR1
63,ENSG00000100034,,,,,,,,,,,,0.0008805084053180002,,PPM1F
64,ENSG00000100749,,,,,,,,,0.00256928012542,,,,,VRK1
65,ENSG00000100890,,0.00818155609271,,0.0010010358103,,,,,1.07923764307e-05,6.33254044127e-05,3.49857435891e-05,0.005557503931139999,,KIAA0391
66,ENSG00000100902,,6.65868748119e-05,,,,,,,,1.03320698465e-05,,,,PSMA6
67,ENSG00000100906,,0.00883177975045,,,,,,,,0.00136925697731,,,,NFKBIA
68,ENSG00000101126,,,,,,,,,,,,,0.0049771254062,ADNP
69,ENSG00000101624,,,,,,,,,,0.000940880798579,,,,CEP76
70,ENSG00000101751,1.0,8.938531310650003e-12,1.0,5.49286081118e-10,1.0,1.0,0.0029393469601100004,0.00893299818843,8.63916615153e-21,1.4343905674999998e-10,5.795653173740001e-09,1.0,3.07014328138e-06,POLI
71,ENSG00000102572,,,,,0.00654090242781,0.0067107741288800005,,1.80027300428e-06,1.5405896667299998e-10,,0.00074316403704,8.558851322720002e-07,1.14383520164e-05,STK24
72,ENSG00000102804,,,,1.46482431415e-05,,,,,,,,,,TSC22D1
73,ENSG00000102870,,,,0.0017833671901099997,,,,,,0.000386461578056,0.003885051252570001,,,ZNF629
74,ENSG00000103342,,,,,,,0.00716748706672,2.72178222096e-05,,,,,5.37813492406e-07,GSPT1
75,ENSG00000103490,5.88740514461e-05,1.34695356478e-05,,,,,,,,2.8237524962299997e-09,,,0.00502083245598,PYCARD
76,ENSG00000103496,1.0,1.0,1.0,1.60748137868e-06,3.25894265923e-14,0.00476543057762,2.7498977704299997e-08,2.1711726933e-05,6.437552691640002e-12,0.000357669169825,3.7632010007199997e-06,1.56726405522e-16,1.63866032315e-10,STX4
77,ENSG00000103507,,2.42543176797e-06,,,0.00047787688239699994,0.0009059152261960002,3.17198670245e-06,0.00558649903197,3.08370673713e-11,6.50128708701e-06,,2.274734934650001e-09,2.66282053776e-08,BCKDK
78,ENSG00000103510,,2.42543176797e-06,,,0.00055366158565,0.0009059152261960002,3.17198670245e-06,0.00558649903197,3.08370673713e-11,6.50128708701e-06,,2.274734934650001e-09,2.66282053776e-08,KAT8
79,ENSG00000103549,,2.2626741479e-05,,0.000758543004202,,,,0.00621794300471,5.01700900787e-06,3.58982028469e-08,1.45700143291e-05,,0.00958399377323,RNF40
80,ENSG00000104872,,,,,,,,,0.00599134910594,,,,,PIH1D1
81,ENSG00000104946,,,,,,,5.17499170696e-07,,,,,,1.21938560813e-08,TBC1D17
82,ENSG00000105364,4.19865699299e-08,1.67161978045e-17,,,,3.81978865254e-11,,0.00443137542577,2.92075442317e-35,4.57378431417e-27,,,0.000662524188517,MRPL4
83,ENSG00000105376,0.000188814215061,1.87465663442e-05,1.87793764872e-07,1.13754863692e-05,1.72456439434e-08,5.12233417661e-07,,,,3.80298164454e-08,3.94474051037e-13,2.4536665580300003e-15,,ICAM5
84,ENSG00000105397,,0.00717328007847,,0.0075031925971,1.0,1.0,1.0,1.0,2.74362082648e-05,0.0026292672123099997,0.000529656139524,0.000330122287487,1.0,TYK2
85,ENSG00000105479,,,,,,,,0.000634916410043,,,,,,CCDC114
86,ENSG00000105516,,,,,,,,,,,0.00544134059554,,,DBP
87,ENSG00000107201,1.5348342582e-05,,,,,,,,,1.3625155401e-12,,,,DDX58
88,ENSG00000107554,,4.466145037720001e-07,,1.60516245012e-06,,,,,,3.08896146036e-05,,,,DNMBP
89,ENSG00000107566,,1.43837722598e-06,,,,,,0.0005199805056769999,0.00290283688052,1.3945520271200001e-06,,7.800314697849998e-08,4.40417229003e-06,ERLIN1
90,ENSG00000108175,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,2.68231277259e-21,1.0,1.0,1.0,1.0,ZMIZ1
91,ENSG00000108179,,,,,,,,,0.0006726688331819999,,,,,PPIF
92,ENSG00000108469,,,,,,,,,,0.00016801861744199998,0.00263234636015,,,RECQL5
93,ENSG00000108479,3.9846399621e-06,4.683545800649999e-12,0.00197725272759,4.99984909036e-10,,,,,0.00845694575434,1.3573497774700006e-20,3.95776257019e-15,0.00581985687302,0.0016298841672199998,GALK1
94,ENSG00000108784,,,,,,,,0.000848386851239,,,,,0.0021904961111799998,NAGLU
95,ENSG00000108786,,,,,,,,0.000848386851239,,,,,0.0021904961111799998,HSD17B1
96,ENSG00000110777,,,,,,,,,0.00039577511434099995,,,,,POU2AF1
97,ENSG00000110852,,,,,,,,,,1.1339558880000002e-05,0.00896749452081,,,CLEC2B
98,ENSG00000110921,,,,,,,0.00161722912751,0.00692571307045,,,,,1.04930150739e-08,MVK
99,ENSG00000110944,,8.27191332523e-07,,,,,1.0,7.84437186823e-15,5.95946371325e-14,5.65217249496e-10,,0.00203378241663,4.14685749985e-11,IL23A
100,ENSG00000110955,,,,,,,1.0468877502500001e-08,0.00158669617452,0.0010089610375,,,,2.37743082445e-06,ATP5F1B
101,ENSG00000110958,,,,,,,1.89423467633e-07,,0.0007939286315689997,,,,1.87659252372e-05,PTGES3
102,ENSG00000111229,,,,,,,,0.0006392122198969999,,,,,5.16460736443e-06,ARPC3
103,ENSG00000111231,,,,,,,1.14364560364e-06,1.45753946843e-05,,,,,9.24976544399e-14,GPN3
104,ENSG00000111237,,,,,,,,0.00033197537046,,,,,1.72380377321e-07,VPS29
105,ENSG00000111252,,,,,6.1880343258099975e-19,1.1427119006899999e-06,4.19358707476e-23,1.0190712257399999e-22,2.6942776722599993e-62,,,3.4381716906199995e-24,2.9525599566999995e-43,SH2B3
106,ENSG00000111271,,0.007098938281619998,,,,,,0.0012398744218099999,,,0.0016154797318100001,0.00020083784309599998,4.346782277840001e-06,ACAD10
107,ENSG00000111275,,,,,,,,,0.006656962842689999,,,,,ALDH2
108,ENSG00000111300,0.0029431896479200003,7.83440149775e-13,0.00294603880961,1.43439465827e-13,4.13220950642e-06,,1.21168615461e-10,1.49122901895e-06,1.66517893014e-23,1.5429266627799998e-14,2.06905097931e-09,2.52604199148e-08,1.4287732209100001e-15,NAA25
109,ENSG00000111481,,,,,,,,,,,,,0.00822725407886,COPZ1
110,ENSG00000111540,,,,,,,1.14745420629e-05,0.0018328481311199998,,,,,1.11829756104e-08,RAB5B
111,ENSG00000111602,,4.23225840401e-11,,1.32952473651e-09,2.1971109523900003e-06,0.000185526099658,5.3669685315e-09,4.36283917259e-06,6.5302873738899985e-25,3.17581130778e-12,5.07205367717e-11,3.800843625e-08,1.17194305769e-11,TIMELESS
112,ENSG00000112110,,,,,,,,,,,,,0.00430176215525,MRPL18
113,ENSG00000112357,,,,,,,,,,,,,7.3873493670000004e-06,PEX7
114,ENSG00000112378,,0.00010926751615000004,0.00200344502845,,,,,,,0.0012522832745,1.47026316311e-05,,,PERP
115,ENSG00000112406,,,,,,,,0.0036231864809799998,,,,,1.3309680592299998e-06,HECA
116,ENSG00000112679,,,,,0.00169255944082,,,,,,,4.65995926439e-05,,DUSP22
117,ENSG00000113312,,,,,,,,,0.00558653254998,,,,,TTC1
118,ENSG00000113522,,,,,2.71971021275e-07,,,,0.00034814974965,,,2.27807462746e-09,,RAD50
119,ENSG00000113525,,,,,1.44059177094e-10,6.88660385172e-07,,,,,,1.50442162406e-11,,IL5
120,ENSG00000115233,,,,,,,,0.000202991890333,,,0.00693696590713,,2.03275895079e-07,PSMD14
121,ENSG00000115271,,,,,,,0.00808651566289,,4.2756449898699996e-07,,,,0.0010981665272300001,GCA
122,ENSG00000115484,,,,,,,,,0.00501239639725,,,,0.007078239808810002,CCT4
123,ENSG00000116285,0.0009491871259489999,1.8816015044799997e-09,0.00109789774871,0.00943156512486,,,,,,1.97337445866e-13,6.76267562093e-08,,,ERRFI1
124,ENSG00000116704,,,,0.00118577255265,,,,,1.5459598016700002e-06,,,,,SLC35D1
125,ENSG00000117533,,,,,,,,,,,,,0.000541787113888,VAMP4
126,ENSG00000117602,,,,,,,,,,,,0.0025915956496399997,,RCAN3
127,ENSG00000117614,,,,,,,,,0.00616823405455,,,,,SYF2
128,ENSG00000118503,,,,,0.00353296452857,0.0004671048272250001,,,0.00273463957535,0.0009036049500070001,,1.13239560261e-05,,TNFAIP3
129,ENSG00000118985,,,,,,,,,,,,,0.00834786548925,ELL2
130,ENSG00000119929,,,,,,,,,,,0.000248547032399,,,CUTC
131,ENSG00000120438,,,,,,,,,,,,,0.00430176215525,TCP1
132,ENSG00000122299,,,,,,,0.000237718742089,0.0014072863819200002,,,,,9.372372232110001e-07,ZC3H7A
133,ENSG00000122335,,,,,,,1.07362081155e-05,,,,,,6.35547730452e-10,SERAC1
134,ENSG00000122729,,,,,,,4.93382621518e-09,3.8220770419e-10,,,7.32376948902e-12,,4.08856400413e-21,ACO1
135,ENSG00000122861,,0.00408665461977,,9.12664559917e-07,,,,,,0.000524249915422,4.42154638944e-05,,,PLAU
136,ENSG00000122877,,9.60774332263e-05,,,,,,,2.135946602339997e-183,0.006898994882979999,,,,EGR2
137,ENSG00000122970,,,,,,,,0.0033663487274899996,,,,,9.04496717721e-05,IFT81
138,ENSG00000123329,,,,,,,1.05260304916e-16,1.94146539957e-07,,,,,6.01990492987e-23,ARHGAP9
139,ENSG00000123338,,,,,,,,,,,,,0.000250353871173,NCKAP1L
140,ENSG00000123353,,,,,,,2.14928818313e-06,0.007978634956,,,,,2.87953845832e-07,ORMDL2
141,ENSG00000123836,,0.00435505812315,,,,,,,,,,,,PFKFB2
142,ENSG00000124171,,,,,,,,,,,,,0.009138808164110002,PARD6B
143,ENSG00000124201,,0.0014164751507299998,,,,,0.0016053494745000001,,0.00197988514301,0.0071474666605799994,,,1.52354926382e-07,ZNFX1
144,ENSG00000124207,,,,,,,,0.00267393929046,,,,,0.000548052417819,CSE1L
145,ENSG00000124217,,,,,,,,,,,,,0.00102041412624,MOCS3
146,ENSG00000124226,1.0,1.0,1.0,1.0,0.00122559170433,1.0,1.0,0.00315191761803,0.000443995407673,0.005030915636770001,1.0,6.55385847554e-05,0.00043040802237399997,RNF114
147,ENSG00000124228,,,,,,,0.000141517139283,,,,,,3.07391742713e-05,DDX27
148,ENSG00000124766,,,,,,,,,7.927667673960001e-06,,0.00560351415381,,,SOX4
149,ENSG00000125245,,,,,0.00108614097931,,1.2765507083499993e-29,2.46777275033e-20,0.00203098554081,,,1.3878432175999999e-05,4.41093862139e-45,GPR18
150,ENSG00000125246,,,,,,,,0.007802653942239998,,,,,,CLYBL
151,ENSG00000125249,,,,,,,,,,,,,0.00302850901518,RAP2A
152,ENSG00000125304,,0.00012969016684,,3.03626809987e-05,0.000163552971116,,2.91582451401e-09,5.38300313604e-09,3.9729132505e-06,3.31114230091e-05,0.00011305823077900001,3.35337039533e-05,6.38171055153e-12,TM9SF2
153,ENSG00000125445,,,,,,,0.00809382479231,,,,,,0.0004979037407869999,MRPS7
154,ENSG00000125447,,,,,,,0.00809382479231,,,,,,0.0004979037407869999,GGA3
155,ENSG00000126432,,0.00112320881249,0.00402932927562,0.0011912924636199999,,,,9.71148828163e-08,1.52028087799e-20,0.00477725766894,1.0283772536100001e-09,,7.43467960987e-08,PRDX5
156,ENSG00000126458,,,,,,,0.00984931583003,,,,,,,RRAS
157,ENSG00000126461,,,,,,,0.00984931583003,,,,,,,SCAF1
158,ENSG00000127152,,,,,0.0015107124906900001,,0.000576353822174,1.17339979781e-07,1.44508546445e-17,,,,5.76061057486e-14,BCL11B
159,ENSG00000128228,,0.00175841471063,,,,3.92211290927e-05,1.1204575414e-07,4.9333662217300003e-14,1.87750114346e-08,0.00408962645079,,2.92164358246e-10,3.16114887114e-21,SDF2L1
160,ENSG00000128789,,,,,,,,,,0.000940880798579,,,,PSMG2
161,ENSG00000130363,,,,,0.00616940729144,0.000199920983996,,,,,,1.28662855526e-07,,RSPH3
162,ENSG00000130810,,,,,,,0.0030989337836999998,,3.7911067591699996e-13,,,,0.00012153325055299998,PPAN
163,ENSG00000130812,,,,,,,0.0030989337836999998,,3.7911067591699996e-13,,,,0.00012153325055299998,ANGPTL6
164,ENSG00000130816,,0.00282851955774,,,,,,,,0.00031621827354799995,4.3018847443000004e-05,,,DNMT1
165,ENSG00000131374,,,,,,,,,,,,,0.000121219249454,TBC1D5
166,ENSG00000131378,,,,,,,,,7.716118806549999e-08,,,,,RFTN1
167,ENSG00000131437,,,,,0.0017859946130900004,,,,7.01019654121e-15,,,0.00104270755009,,KIF3A
168,ENSG00000132471,1.0,2.7827715447e-12,1.0,1.0,0.00034289424908499997,1.0,1.0,6.30965461271e-05,5.80428138737e-12,1.17960230243e-09,0.001025703696,1.0,9.80266610423e-05,WBP2
169,ENSG00000132475,1.71012457449e-05,1.51684014552e-12,5.57721986113e-07,2.6907224323200003e-11,0.00629337019067,,8.9351285547e-05,,1.2130907863499998e-27,1.3573497774700006e-20,3.95776257019e-15,3.69388507207e-05,9.70335656943e-06,H3F3B
170,ENSG00000132478,1.71012457449e-05,1.51684014552e-12,5.57721986113e-07,2.6907224323200003e-11,0.00629337019067,,8.9351285547e-05,,1.2130907863499998e-27,1.0252331729799999e-14,2.4224540153099995e-10,3.69388507207e-05,9.70335656943e-06,UNK
171,ENSG00000132481,1.0,2.7827715447e-12,1.0,1.0,1.0,1.0,1.0,1.0,5.80428138737e-12,1.17960230243e-09,0.00697711989887,1.0,1.0,TRIM47
172,ENSG00000132912,,,,,,0.00827832536252,7.7488181284e-06,,,,,,0.0023404693093899997,DCTN4
173,ENSG00000133226,,6.8486849842e-15,,2.74945812835e-05,2.90040240872e-06,1.69042269217e-08,1.29966588131e-30,2.77853873525e-07,,3.673519486969999e-15,1.05224546792e-07,7.75315514471e-17,4.3142387171999997e-39,SRRM1
174,ENSG00000133316,,2.54979381003e-06,,1.0625137237999999e-05,,,9.97365044115e-05,3.08577920487e-08,0.000184571815915,2.0237084336e-11,5.3606655479e-08,,2.00080562458e-15,WDR74
175,ENSG00000134046,0.0006676442721369999,3.9019515662199994e-27,0.0005126077597619999,9.82833260698e-28,3.2689917491799996e-15,1.85574185097e-14,7.60354134556e-13,8.113626954600001e-16,7.64592493268999e-201,3.7745372854099994e-25,2.3624002094e-26,4.2423671127099975e-28,1.4499116299999999e-29,MBD2
176,ENSG00000134864,,,,,,,,2.32587972812e-09,,,,,2.75591537191e-11,GGACT
177,ENSG00000134882,1.0,0.00014722340177399998,1.0,1.50613699378e-07,1.3096548631299999e-14,0.00694242791324,0.00218048461321,5.77518285647e-06,4.284464007799997e-72,2.95947468179e-05,1.48511212601e-11,5.60110728372e-18,1.55672393096e-07,UBAC2
178,ENSG00000134954,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0005854670706580001,1.0,1.0,ETS1
179,ENSG00000135148,,9.40463874542e-05,,,,,0.000460593419174,,1.3258172557700001e-11,4.96648316551e-06,6.5035813835e-05,,1.63139642045e-06,TRAFD1
180,ENSG00000135392,,,,,,,2.14928818313e-06,0.007978634956,,,,,2.87953845832e-07,DNAJC14
181,ENSG00000135404,,,,,,0.00031619612794599997,,,,,,,,CD63
182,ENSG00000135414,,7.82845072383e-08,,0.00279557814303,0.000254026909327,,3.10604675373e-18,7.473710767919999e-08,1.40548071336e-13,4.4331430066300007e-10,0.00020507900724,5.7932543949199985e-06,5.1486999478099997e-26,GDF11
