,gene_id,hacat_stim_1,hacat_stim_2,hacat_unstim_1,hacat_unstim_2,myla_1,myla_2,naive_T_1,naive_T_2,GM12878,hacat_stim,hacat_unstim,myla,naive_T,gene_name
73,ENSG00000138378,,,,,,,1.2880105124999991e-87,1.5833015204699991e-53,5.11051412682e-19,,,,1.321124933619999e-122,STAT4
74,ENSG00000138381,,,,,,,,,,,,,0.000578505964048,ASNSD1
75,ENSG00000138386,1.0,1.0,1.0,1.0,,,1.0,1.0,3.8048298296599996e-37,1.0,1.0,,1.0,NAB1
76,ENSG00000138495,,5.4605094916400004e-12,,4.5206955433900005e-11,0.0007012383741819999,3.61249152873e-08,2.27384473033e-16,2.6569749673400005e-16,3.00555378342e-22,1.7672239169400006e-11,3.0562574735799998e-12,4.3925355424499997e-10,1.56492380126e-31,COX17
77,ENSG00000138814,,,,,,,,,,,,,0.0009365352251680001,PPP3CA
78,ENSG00000138821,,,,,,,0.00124759745633,5.07501895156e-05,,,,,8.052087817589999e-08,SLC39A8
79,ENSG00000140400,,,,,,,,,0.00274562310436,,,,,MAN2C1
80,ENSG00000140464,,,,,,,,,0.0014047192222499999,,,,0.0053254205333000005,PML
81,ENSG00000140474,,0.0028297958688700002,,,5.10456556938e-08,0.00041884647571199996,,,4.22426513536e-07,,,1.2256239622300004e-09,,ULK3
82,ENSG00000140497,,,,,8.54953968759e-05,,,,,,,1.46541707767e-06,,SCAMP2
83,ENSG00000140968,,,,,,,1.33715694215e-14,,2.88129118862e-22,,,,5.86613999839e-14,IRF8
84,ENSG00000141569,,,,,,,,,,,,,8.79116455005e-05,TRIM65
85,ENSG00000141738,0.00827159036048,0.000211193199488,,0.00314055117895,,,,,,9.44179446739e-05,2.72590668181e-05,,,GRB7
86,ENSG00000141741,0.00827159036048,0.000211193199488,,0.00314055117895,,,,0.00013681999905500002,0.000190098542148,0.000518966022297,2.72590668181e-05,0.000951245930621,0.00022846776133400001,MIEN1
87,ENSG00000142082,,,,,,,,,,,,,0.00078750938127,SIRT3
88,ENSG00000142864,,0.000859728209496,,,,,,,0.00426381705847,3.15345488163e-05,0.00046004442645999997,,,SERBP1
89,ENSG00000143156,,,,,,,,0.00043388394414999997,,,,,0.00045577874411500003,NME7
90,ENSG00000143167,,,,,,,1.54307404973e-17,4.58207268241e-08,,,,,8.180296448869999e-16,GPA33
91,ENSG00000143179,,,,,,,,,,,,0.00958569058469,,UCK2
92,ENSG00000143183,,,,,,,,,,,,0.00958569058469,,TMCO1
